Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasantness	Responsibility/Control	Situational Control
Anger	I felt … when an elderly gentleman came out his house screaming and shouting at my 14 year old daughter when she was doing her paper round, because she dared to bump her bike up on the pavement to deliver the house next doors newspapers. She came home in tears and frightened so I went to his door at 7am and screamed and shouted back at him. No one has a go at my kids!	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... when I heard a family friend who had always been very nice to me died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when I saw a man shouting and swearing at his children.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when it was my uncle’s funeral and he’d died from cancer despite fighting it every step of the way. I felt ... that he knew he was dying and couldn’t do anything about it and he wouldn’t be around to see his granddaughter grow up.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when I passed my driving test after the forth attempt.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … reading an article about a Trump voter who was angry that he wasn't hurting the people he was supposed to.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when a car cut in front of me on a motorway.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... when my father got scammed again.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when Liverpool beat Manchester United.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when I saw on the news that a guy had been stabbed to death by a stranger on a train and it was in front of his son.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when Liverpool fans rioted in Brussels.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I cheated in an exam and I was caught.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when Crowdflower reduced the payment for work tasks.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I was on holiday and saw the sea for the first time.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I could not pay my electric bill reminder as I have no money.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I was younger, I helped my Father on a building site and I needed to be on a scaffolding platform about 20 feet off the ground. While it wasn't very high, it was very wobbly and that was the first time I had ever had a … of heights. Ever since then, I have not been happy with being high up on anything.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... after learning that a bomb had gone off in Northern Ireland today he first for a while.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … at my boyfriend because he was kicking a cat.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when my grandmother died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when I spent time with my kids.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I realised I was boasting about all the holidays I had to look forward to and remembered my best friend wouldn't have any as she couldn't afford it.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when I watched a sad movie.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I once felt … when I stepped into some dog excrement on the pavement. It was in the days long ago when people were not expected to clean up after their pets.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... that I had promised to make a charitable donation this Christmas instead of buying a particular present for somebody, and never actually got around to it.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I feel … when politicians tell me what I should vote for.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … listening to a politician justifying his own self indulgence.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I found a rare item I had wanted for a long time.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … being approached by an aggressive beggar who refused to listen to my no.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... when we had to put my mum into a residential home because she couldn't look after herself and was getting confused putting herself in danger	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when I saw a person on the street picking up his nose.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when I was attacked by a big dog, while walking in a park.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I forgot to take my Christmas present for my sister, I left it at home, and she was generously hosting Christmas Day at her house.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when I rode a rollercoaster at a theme park.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I saw lots of slugs all over our house walls. I had to get rid of them with a dustpan and brush.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt … because my husband had spent a lot of money on buying me a new mobile phone that I had wanted for a long period of time. He had brought it to me for Christmas but I felt … that he had spent so much money on something that I just wanted rather than needing.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my husband left me after 16 years and I realised he wouldn't be coming back to me and my children.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … when I had managed to get tickets in order to see the Backstreet boys. I had done lots of preparation in advance including registering on the site and setting an alarm for when the tickets went on sale. I felt … as I logged in at 9am to buy them and by the time the page had loaded they had sold out. When checking other sites some were already being sold for triple the amount which made me … .	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when I momentarily lost sight of my son in a shop.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when my mom caught me lying.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when we bought a puppy.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I feel ... when I see the Christmas decorations come down, and know they won't be up again for another year.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when my mum was taken into the hospital.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... when I told a friend I was ill when I was supposed to be meeting them when I really just wanted a night in front of the tv.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … after reading on social media about all the petty crime occurring in my home town at the moment.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... after I ate a whole box of chocolates in secret over Christmas when I was supposed to be sharing them, just because I was greedy.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... as I forgot my dad’s birthday once when I was younger.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	"The last time I felt ... was when I heard Brexit protestors shouting that women MPs and women journalists should be raped for airing their opposing views and it made me ... to be part of ""so-called"" society."	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when I knew that I was going back to Florida a year earlier than I thought I would.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … when I put my thumb into a mouldy potato when starting to prepare dinner.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... because Britain voted to leave the EU.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when the referee awarded a penalty against my football team when there was no question it was a clear challenge.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... when I was blamed for a problem at work (I was not at fault).	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … because I had to give a presentation at work.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when I lost a cherished piece of jewellery I was given by a relative.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … when I read a report of suspected Chelsea football club supporters chanting anti-semitic chants and sexually abusing female passengers on a UK train as no rail passengers should be subjected to such animals and it made me feel even more … when I realised that they will likely never be caught and punished and so they will continue with their despicable and cowardly behaviour.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I feel … when I eat some out of date food.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I feel ... because I read this blog post but I’m not in the situation to be able to help the person. They were going through a really hard time.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I feel … when I go to the local nature reserve and find a car dumped there half in a ditch.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … that some of my fellow country men treat refugees as if they are not humans.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when I was watching a horror movie but my wife made me feel … me by saying that watching a horror movie attracts satanic possession. And I felt serious … because of that.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … once when a customer at work was really rude and started shouting at me that I wasn't competent enough to do my job even though I did the task correctly and he was incorrect - he was just angry because he lost a hand of poker and was looking for someone to blame.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … when there was a couple in the next caravan to me on a caravan site. When they opened their caravan after the winter season it was full of flies.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt joy ... I found a book I had been looking for, for a long time and then the person I was with offered to buy it s a Christmas present.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when my neighbour started to throw rubbish in my garden for no reason.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I got my rescue cat.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I opened my Christmas presents and I had got everything that was on my list.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I took my Dad's scissors from his drawer when I was not supposed to.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when walking home in the dark.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I had too much to drink in a pub, fell over and had to go to hospital.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt … because I broke the rules.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … when Liverpool FC lost against Wolves.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... because I did not get active members to work on my website.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … when the swagbucks site was taking forever to access. It’s been a pain to use all day. It's not other ones it's swagbucks. Either they haven't enough bandwidth because they're cheap or they're being odd, either way its pissing me off.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when I forgot to put on the yogurt maker even though I looked at it and had just said I wanted to put  it on. I felt … with myself.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when  I was waiting in line at the supermarket and someone cut in front of me.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I met up with an old friend that I hadn’t seen for years.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when we were charged by a care home for the three months after my father had died, even though we had emptied his room the day after his death.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … at seeing the amount of rubbish floating in our rivers recently.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... when I was given far more than the correct change in a shop, and didn't alert the shop assistant to her error.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I found out I was working for a short wile for someone who was involved in tax evasion.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt … when I took an item out of a shop without paying for it.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when I was taking my children for a walk and a big fat, man started being abusive towards us.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … because I made a mistake and ended up losing quite a lot of money on a business deal that I should have known wasn't a good way of investing.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... when my parents spent the entire day arguing. It made me sad because they used to get on so well, and now all they ever do is argue or complain about things each other are doing and expect sympathy from everyone else over it when they’re causing it themselves by being unwilling to compromise over anything, from something as small as where their cups are placed on a table.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when I folded up my washing from the washing line and picked up the pile to take it inside and a huge spider ran out from the washing and on to my arm.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I saw a woman pissing on the street.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … when I saw a bird being mistreated when on holiday.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt …  because I was eating a bag of pistachio nuts when I realised that one of them tasted bad. I took it out of my mouth and realised it was black and that it must have gone bad. I then noticed that it had a dead maggot inside it. I felt such … that I had been chewing it that I felt sick for hours. So gross.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I feel … when I remember being part of a group of children who verbally bullied another child in middle school.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … working in the street seeing faeces of dogs. The owners should take care of them but are being so lazy and neglected, that is terrible.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when my friend stole my book.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... because my child loved their Christmas gift so much they were almost in tears of joy.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when my dog started being too assertive with another dog, so I had to take him home early.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when I wasn't well, no one else in my household did anything to help around the house and just left me to it.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... because I looked around my neighbours ornaments and photo frames when they asked me to get a key for them to give to the porter.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when I bit into an apple and it was rotten in the middle.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... when I had an affair and told my husband it was only online and that I’d never met the man in question.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I remember being part of a group of children at school who verbally bullied another child.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... because I had put on weight and my work trousers didn't fit.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when my daughter was born as we had been trying for years.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … when cleaning the rubbish from mum's cousin's front garden after passing people had thrown it in.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I feel ... hearing my son’s laugh.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I started eating a box of Christmas fudge, and ate the whole thing, after a pizza.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when a horse bolted with me, the saddle slipped and I could see I was going to get badly injured when I would eventually fall off.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … because I had to pick up work for a colleague that just ignored a colleague and wouldn't reply to me either.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when my husband told all his friends that it was my fault we had split up and told people a secret we had.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I has a clothing malfunction, which resulted in showing more of myself than I wanted to.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when my son was born.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … when I saw some food that had gone bad.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … because my boiler wouldn't work.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I saw a news article about a dog being abandoned by his owner in a road. The owner was then seen speeding off and the dog ran after him. I felt … that someone could treat an animal that way. It made me feel such … I couldn't finish reading the article.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... one night when I was younger, I went out for a night drinking with a friend and I ended up dancing and kissing a girl in a club, despite the fact I already had a girlfriend, and I felt so much ... the next couple of days that I broke up with my girlfriend the next time we spoke.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when the care home called me to let me know that my grandmother was sick.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my mother passed away.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I realized I'm 49 years old and not achieved anything useful in my life.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I felt … when I saw dog faeces on the pavement.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when some children were teasing my daughter and being mean to her saying she is fat and she speaks funny.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when I saw an older child pick on my own son.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … because I had been working two jobs and looking after our kittens and our house as much as I can in between and I felt my partner was not doing anything much.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … towards my friend because he stole my book.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when the Welfare Officer at Cat's Protection League didn't listen to me regarding a cat's welfare when I knew better because I was fostering the cat.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I stepped in dog excrement without knowing and got in the car so it was smeared on the mats and pedals.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I experienced … when as a child I came home from school and my mother was not there. In those days I lived alone with her.  It was several hours before she finally returned.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when someone else took credit for my work at my job.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... of cycling to the local nature reserve for a photo and getting perfect weather conditions for it when I arrived there.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … one day a few years ago, I heard of a car crash near where my wife and children would be driving and, when I couldn't get hold of them, I … that they had been in the crash and been injured or worse. It was the worst … of my life until I finally heard from them and they were fine, just couldn't answer the phone.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... when my family came to visit me to celebrate my 50th birthday.  It was great to have aunts and cousins as well as closer family having a good time together.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … seeing celebrities waste money on vanity.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... when I gave a postcard to a friend with a photo of some deer with big ears on it, as he had ears that stuck out, and he never said a word to me about it.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I feel ... when I don’t take my dog for a walk because its hammering down with rain.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when my girlfriend left it to me to clean out the cat litter tray, first thing in the morning.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt very ... when I lied to my mother.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I feel ... because unfortunately I have PCOS, and this syndrome makes me feel ... in myself almost every single day. The ... comes mostly from the possibility that my weight issues and unhealthy eating may be the cause of the condition.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when spending Christmas with my Son.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... because I had been quite harsh to my partner because he had really annoyed me and I should have just taken a minute to calm down rather than saying something rude.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... because our family dog died. She was a big part of my teenage years and I was ... that she died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I feel ... when my children tell me they love me.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when I couldn't get in touch with a friend who was very ill and felt … he had got worse.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I realised that I had forgotten my best friend's birthday when she has had such a tough year but never forgets my birthday or special events.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... reading about the suffering of slaves in the middle passage when I read about it at university.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I felt … when I watched Making of a Murderer and saw how a 16 year old with learning difficulties was awfully manipulated by self-serving police officers that are supposed to serve the community.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … when I let go of myself last year. I wasn't in a good place, but eventually I didn't recognise myself (physically or how I was acting) and I felt … at myself for not trying to be the best person I could and wasting so much time.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when I was on holiday and it was the last day and had to come home.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … today when up the step ladder pruning a tree - the worry of slipping and falling off.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when my mobile fell down and broke.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I feel ... for eating chocolate when I know I should choose healthy things.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I thought my son could be in trouble when mountain climbing.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when I had walked home from a bar before my partner and couldn't find my key when I got to the front door, it was cold and dark.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... when I watched my children open their Christmas presents and it gave me such ... to see them so happy.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … having to clean out drain plug.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... when I lied to my wife.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I forgot our wedding anniversary.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when a stranger threatened my children.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when my girlfriend felt forced to re-home her pony due to the cost and time commitment;  it felt so final that an animal which had been part of my life for years had reached the end of its relationship with us.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I feel … when I see adverts on the telly showing animals that have been mistreated by owners that dont look after them.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... when I inadvertently stole an air freshener for my car.  It was in the bottom of my shopping trolley and in a clear packet so didn't see it when I put my shopping through the checkout.  I took it straight back to the shop in case they thought I stole it.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... that when I was in my teen years I never did well at school. On one occasion I brought home a school report card which was full of the just about the worst grades you can get.  My mother showed her displeasure towards me.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … because a book online had been advertised as new, but when the paperback arrived it was perfectly obvious it had already been read - assuming this was not an error in the description, how could anyone be so dishonest?	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … because I thought I had left the oven on and left the house with our kittens inside. I went back and it was off after all.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... when I lied to my partner.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I told a friend I was not well to avoid meeting them.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I found out that my daughter had been having a difficult time and I didn't realise straight away what she was going through.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... because my country is treating EU citizens terribly.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I feel … of becoming well known because of posting many photos on social media.  I like to remain as a private person and not be recognised just because I have posted online.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... because I was offered a promotion at work to be head of department. I felt ... because this had been something I had been working towards for a long amount of time. I had worked really hard and felt this had finally paid off.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … when I observed a shop assistant prepare food without gloves.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when my son let one of our cats out when I specifically asked him not to because I had to take him to the vet.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when I took my cat to the vet and there was a huge dog in there not being well controlled by its owner, so I waited outside until it had gone.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … because Swagbucks didn't pay out a questionnaire that I’d followed all the instructions for.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... when I watched videos of how some people treat animals.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when I was out late at night and was aware that some dangerous people were around.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I feel … when work colleagues are not helpful in assisting with task at hand.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... when a close relative died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when witnessing the joy on my children’s face on Christmas morning.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I was younger and I was caught cheating on a test in school. The teacher had seen me copying off someone else and gave me a warning about this.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … because a patient was admitted to my ward from a Nursing home with pressure sores as they were getting paid to provide Nursing care and had neglected to do so.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... because it was very funny when dad gave me a puppy.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt … when the cost of a reunion meal with an old friend was spilt fifty-fifty, even though I'm sure I earn substantially more than him these days.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I was sat in the dentists waiting room which was full of people and I looked down and a pair of my knickers were hanging out the bottom of one of my trouser legs.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt great ... when as a young singer I played a gig at Dartmoor prison in Devon England. The performance went really well and the prisoners loved it which was not expected.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt a lot of … when I lied to my mother that I didn't smoke.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt shame when I let down a friend who was relying on me to do a job at his house.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when I had to tell an old friend, who I hadn't seen for years, that someone she had known very well had died from cancer.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I feel ... because I am still in bed at 12:30 pm.  Wish I had got up earlier.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when crossing a very high rope bridge whilst on my gap year;  I don't like heights, and it felt very flimsy.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I spotted a roadkill while driving.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I feel … when I read in the news several times how pro-brexit protesters were shouting at a female MP and female reporters saying that they were nazis and they should be raped. I feel … that in 2019 people think it is okay to say things like that purely because someone opposes their views and other people are reporting the views. I feel … that I live in the same country as these animals.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... because I got an A in one of my exams.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when I saw a advert on tv for an animal charity for abused animals and I felt … at how people can treat animals so badly.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when I farted in front of a boy I liked in drama class and I felt so humiliated. No one said anything but it smelt bad and everyone knew it was me.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when I discovered that there is going to be an inquest soon for my brother in law's death. His estranged wife is desperately waiting for closure - she wants the death certificate so she can get her claws on his pension.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I heard that two of my daughter's friends had been fighting at school.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when I was pestered for change by a street beggar as I walked along the road.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I feel … because my country’s elected representatives are making us a laughing stock.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... because my son finished the essay on time for his Master's degree;  this was a real achievement.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I broke my new phone.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I had a car accident and put two teenagers boys in hospital.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... because I hoard things rather than be parted with them. I'm sure they'd be better use with someone else, but I keep in case things would 'come in'.	-0.36	0.15	0.0	-0.6	1.31	-0.29
